epoch,accuracy,dice_score,loss,val_accuracy,val_dice_score,val_loss
0,0.9712276458740234,0.45763474702835083,0.5568984746932983,0.979414701461792,0.7161970734596252,0.2945646345615387
1,0.9811040759086609,0.7229071855545044,0.28767842054367065,0.9802497029304504,0.7754104137420654,0.23630155622959137
2,0.9827295541763306,0.7592085599899292,0.2509678602218628,0.9811692833900452,0.789161205291748,0.22222942113876343
3,0.9839746356010437,0.7878462076187134,0.22144874930381775,0.9821528196334839,0.8032100796699524,0.20719441771507263
4,0.9846404790878296,0.7954339981079102,0.21350106596946716,0.9823507070541382,0.8068746328353882,0.2035994678735733
5,0.985068678855896,0.7956712245941162,0.21300765872001648,0.9823888540267944,0.8097735047340393,0.20086625218391418
6,0.9855705499649048,0.800624668598175,0.20773020386695862,0.9822301268577576,0.8053333759307861,0.20528016984462738
7,0.9857141375541687,0.8029433488845825,0.20532405376434326,0.9825717806816101,0.7940192818641663,0.2175915241241455
8,0.9861729741096497,0.8071548342704773,0.20082616806030273,0.982184886932373,0.8117315769195557,0.19890427589416504
9,0.9859775304794312,0.8094280362129211,0.19865551590919495,0.9830723404884338,0.8109462261199951,0.19999027252197266
10,0.9866538047790527,0.822766125202179,0.18473923206329346,0.9825347065925598,0.8051983118057251,0.20586806535720825
11,0.9873968362808228,0.8384373784065247,0.1684487909078598,0.9836832284927368,0.8200570344924927,0.19030022621154785
12,0.9878135919570923,0.8433538675308228,0.1632952094078064,0.9830811023712158,0.8098181486129761,0.2019163966178894
13,0.9881899952888489,0.8471026420593262,0.15930595993995667,0.9827865958213806,0.8151561617851257,0.1957780122756958
14,0.9884077906608582,0.8495314717292786,0.15677115321159363,0.9838269948959351,0.8220765590667725,0.1881255805492401
15,0.9887657165527344,0.8537029027938843,0.15238460898399353,0.9836806058883667,0.8232042193412781,0.1866651475429535
16,0.9888267517089844,0.8543268442153931,0.15172986686229706,0.9831761717796326,0.8126040101051331,0.19874809682369232
17,0.9889187812805176,0.8549696803092957,0.1510818749666214,0.9841493964195251,0.8233637809753418,0.18699029088020325
18,0.9891182780265808,0.8574021458625793,0.148530513048172,0.9833448529243469,0.8155406713485718,0.1959311068058014
19,0.9893175959587097,0.8603743314743042,0.1454523503780365,0.9839937090873718,0.8217207789421082,0.1888427436351776
20,0.9894886016845703,0.8626278638839722,0.1430654227733612,0.9840590357780457,0.8256385326385498,0.18492595851421356
21,0.9895693063735962,0.8646453619003296,0.140973761677742,0.9839190244674683,0.8197378516197205,0.19060145318508148
22,0.9896818399429321,0.8662346601486206,0.13934092223644257,0.9834446907043457,0.8132914304733276,0.19812488555908203
23,0.9898918271064758,0.8674753904342651,0.13795921206474304,0.9842320084571838,0.8214802742004395,0.18866799771785736
24,0.9900549054145813,0.8693779110908508,0.13598982989788055,0.9837675094604492,0.8174775242805481,0.1938038170337677
25,0.9902198910713196,0.8719228506088257,0.13333654403686523,0.9838783740997314,0.820378839969635,0.1908378154039383
26,0.9908822178840637,0.8808741569519043,0.1239951029419899,0.9841750264167786,0.822414219379425,0.18828019499778748
27,0.9909744262695312,0.8800484538078308,0.12477634102106094,0.9842801690101624,0.8230998516082764,0.1876913160085678
28,0.9912669062614441,0.883660614490509,0.1210038810968399,0.9840699434280396,0.8224150538444519,0.18869000673294067
29,0.991329550743103,0.8837153315544128,0.12096065282821655,0.9838809370994568,0.8212203979492188,0.18992336094379425
30,0.9914633631706238,0.8862446546554565,0.11829904466867447,0.9842278361320496,0.822651743888855,0.18860919773578644
