epoch,accuracy,dice_score,loss,val_accuracy,val_dice_score,val_loss
0,0.9995925426483154,0.19801989197731018,0.8042154312133789,1.0,0.19956177473068237,0.8012616038322449
1,1.0,0.20623908936977386,0.7942662239074707,1.0,0.2559084892272949,0.7442077398300171
2,1.0,0.5579497814178467,0.44207191467285156,1.0,0.8515830039978027,0.14841705560684204
3,1.0,0.9565083384513855,0.043491706252098083,1.0,0.9858484864234924,0.01415130402892828
4,1.0,0.9909643530845642,0.009036030620336533,1.0,0.9941723346710205,0.005827164277434349
5,1.0,0.9956887364387512,0.004311493597924709,1.0,0.9968251585960388,0.0031751308124512434
6,1.0,0.99750816822052,0.002491998253390193,1.0,0.9980586171150208,0.0019408962689340115
0,0.9698304533958435,0.42481639981269836,0.5901227593421936,0.9775242805480957,0.5058368444442749,0.5063196420669556
1,0.9781165719032288,0.6099803447723389,0.40157759189605713,0.9811451435089111,0.6464378237724304,0.3643933832645416
2,0.9799259305000305,0.7089295983314514,0.30245518684387207,0.9815027117729187,0.6703165769577026,0.3415367901325226
3,0.981850266456604,0.7356801629066467,0.27503958344459534,0.9814207553863525,0.6643832921981812,0.34746232628822327
4,0.982394814491272,0.7418546676635742,0.2686764895915985,0.9816564321517944,0.6817268133163452,0.33002084493637085
5,0.9830088019371033,0.7515503764152527,0.2585549056529999,0.9801932573318481,0.6827983260154724,0.3292224407196045
6,0.9833982586860657,0.7634896636009216,0.24621762335300446,0.9818139672279358,0.6883400678634644,0.32373785972595215
7,0.9842060208320618,0.7769859433174133,0.23217882215976715,0.9826604723930359,0.6866980195045471,0.32480472326278687
8,0.9846317768096924,0.781407356262207,0.22759170830249786,0.980435311794281,0.6875488758087158,0.3258295953273773
9,0.984859824180603,0.7876331806182861,0.22116145491600037,0.9822545051574707,0.6934376955032349,0.31806737184524536
10,0.9848419427871704,0.790985643863678,0.21764864027500153,0.9816966652870178,0.700741708278656,0.310868501663208
11,0.9851129055023193,0.7965745329856873,0.21182850003242493,0.9811714291572571,0.699550211429596,0.31225624680519104
12,0.9854565262794495,0.8005822896957397,0.20760175585746765,0.9811536073684692,0.6970751881599426,0.3146331310272217
13,0.9857444167137146,0.8066442608833313,0.20126651227474213,0.9826552867889404,0.704958438873291,0.3064214289188385
14,0.9858798980712891,0.8054723143577576,0.20240765810012817,0.9822748899459839,0.6918672323226929,0.32053616642951965
15,0.9861640334129333,0.8112233877182007,0.1964314579963684,0.9824070930480957,0.7138743996620178,0.29702818393707275
16,0.986185610294342,0.8144586086273193,0.19322018325328827,0.9814583659172058,0.7086296081542969,0.3032216727733612
17,0.986079216003418,0.8184788227081299,0.18917736411094666,0.9824382662773132,0.7112019062042236,0.29983755946159363
18,0.98647540807724,0.8201723098754883,0.18729691207408905,0.982218325138092,0.7108454704284668,0.2999507486820221
19,0.9866302609443665,0.8221496343612671,0.18524137139320374,0.9824636578559875,0.7098338603973389,0.301417738199234
20,0.9866547584533691,0.8241235613822937,0.1832253336906433,0.9817876815795898,0.7136528491973877,0.29823267459869385
21,0.9877529144287109,0.8380870819091797,0.1684916764497757,0.9824734330177307,0.7186375856399536,0.293081134557724
22,0.9882343411445618,0.8415116667747498,0.16490156948566437,0.981906533241272,0.7122936844825745,0.2991503179073334
23,0.988269031047821,0.8436083793640137,0.16275596618652344,0.9825006127357483,0.7188000679016113,0.2925199568271637
24,0.9886358380317688,0.8473504185676575,0.1587902009487152,0.9832637906074524,0.7117690443992615,0.29971784353256226
25,0.9887535572052002,0.8492612838745117,0.15683221817016602,0.9830302596092224,0.7149475812911987,0.2963196635246277
26,0.9890106320381165,0.8521665334701538,0.15380439162254333,0.983195424079895,0.7117729783058167,0.29955554008483887
27,0.9889295697212219,0.8521125316619873,0.15391720831394196,0.9836257696151733,0.7185935974121094,0.2928014099597931
28,0.9888448119163513,0.849953293800354,0.1561257243156433,0.9835736155509949,0.7177782654762268,0.2934708893299103
29,0.9893292188644409,0.8559386134147644,0.1498030424118042,0.9831106066703796,0.713383674621582,0.2977049648761749
30,0.9896782636642456,0.8608905076980591,0.1446535438299179,0.9835083484649658,0.7141233682632446,0.29753604531288147
31,0.9895520806312561,0.8585703372955322,0.14713610708713531,0.9833478331565857,0.7124201059341431,0.2991276681423187
32,0.9900071024894714,0.8636097311973572,0.1418171525001526,0.9833685159683228,0.7145007848739624,0.29749956727027893
33,0.9901642799377441,0.8656869530677795,0.1396724134683609,0.9826299548149109,0.7136031985282898,0.29834941029548645
