epoch,accuracy,dice_score,loss,val_accuracy,val_dice_score,val_loss
0,0.9585925340652466,0.29359182715415955,0.7086349725723267,0.9680489897727966,0.43786928057670593,0.5636955499649048
1,0.970475435256958,0.48365989327430725,0.5178562998771667,0.9774688482284546,0.528948962688446,0.47228461503982544
2,0.9757421612739563,0.5501611232757568,0.4511600434780121,0.9823387265205383,0.607944130897522,0.3930116593837738
3,0.9772555828094482,0.5747522711753845,0.4265335202217102,0.980537474155426,0.6117299795150757,0.3893018960952759
4,0.9775336384773254,0.6126970648765564,0.38854366540908813,0.9822264313697815,0.7250034213066101,0.275906503200531
5,0.9792152643203735,0.7148608565330505,0.286305695772171,0.9848705530166626,0.7796399593353271,0.22122278809547424
6,0.9807723164558411,0.7494966387748718,0.2516665458679199,0.9853382706642151,0.7991174459457397,0.20174263417720795
7,0.9815414547920227,0.7621772885322571,0.23898856341838837,0.9838993549346924,0.7935004234313965,0.20750004053115845
8,0.9815824031829834,0.7681998610496521,0.23300299048423767,0.9839620590209961,0.8021254539489746,0.19887091219425201
9,0.9826104044914246,0.779973030090332,0.22118867933750153,0.9856905937194824,0.8073166012763977,0.1936308592557907
10,0.9831504821777344,0.7856979370117188,0.21545688807964325,0.9831857681274414,0.8016840219497681,0.19942286610603333
11,0.9832722544670105,0.7924753427505493,0.20869778096675873,0.9857456684112549,0.8192362189292908,0.18172083795070648
12,0.9836199283599854,0.7968591451644897,0.20431701838970184,0.9861007332801819,0.8188836574554443,0.1820928305387497
13,0.9846519827842712,0.8094085454940796,0.19169579446315765,0.9856721758842468,0.814635157585144,0.1863699108362198
14,0.9845161437988281,0.8063178658485413,0.1948200762271881,0.9845428466796875,0.8190673589706421,0.18205299973487854
15,0.9851810932159424,0.8194150328636169,0.18168772757053375,0.9869160056114197,0.8276916742324829,0.17329874634742737
16,0.9856501221656799,0.8251455426216125,0.1759423464536667,0.9857167601585388,0.823845386505127,0.17722897231578827
17,0.9857915639877319,0.8283091187477112,0.1727764755487442,0.9855632185935974,0.8189831376075745,0.18214479088783264
18,0.9861218929290771,0.8328112363815308,0.1682531237602234,0.986860454082489,0.8300977945327759,0.1709246039390564
19,0.9867411255836487,0.8395001888275146,0.1615251749753952,0.9862457513809204,0.8279472589492798,0.17313523590564728
20,0.9868649244308472,0.841765820980072,0.1592550128698349,0.986526608467102,0.8325173854827881,0.16854257881641388
21,0.9872561693191528,0.846269428730011,0.15472154319286346,0.985286295413971,0.8197818994522095,0.18142373859882355
22,0.9872442483901978,0.8477599620819092,0.15325172245502472,0.9872817397117615,0.8352051973342896,0.16582688689231873
23,0.9879911541938782,0.8565258383750916,0.14442108571529388,0.9865146279335022,0.831175684928894,0.16993670165538788
24,0.988181471824646,0.8596107959747314,0.1413400024175644,0.9874027371406555,0.8354248404502869,0.16563713550567627
25,0.9884122610092163,0.8621639609336853,0.13876235485076904,0.9865390062332153,0.824667751789093,0.1765257567167282
26,0.9886603951454163,0.8643180727958679,0.13660040497779846,0.9867287874221802,0.8290912508964539,0.17203505337238312
27,0.9887357354164124,0.8666532635688782,0.134260356426239,0.9864518046379089,0.8269226551055908,0.1742781549692154
28,0.9892008304595947,0.8713824152946472,0.12948839366436005,0.9868295192718506,0.828646719455719,0.1725386083126068
29,0.9894921183586121,0.8759327530860901,0.12492240965366364,0.9872348308563232,0.8298006057739258,0.17137360572814941
30,0.9900190234184265,0.8804903030395508,0.12032710015773773,0.9871604442596436,0.8327712416648865,0.16837015748023987
31,0.9901137351989746,0.8825051188468933,0.11830272525548935,0.9868252873420715,0.8317804336547852,0.16942162811756134
32,0.990398108959198,0.8864041566848755,0.11437887698411942,0.987282931804657,0.8336558938026428,0.1675233393907547
33,0.9907019734382629,0.8888298869132996,0.11193396151065826,0.9874654412269592,0.8333625793457031,0.1678001880645752
34,0.9909201860427856,0.8916391134262085,0.1091102808713913,0.9872590899467468,0.8329024910926819,0.16828757524490356
35,0.9908773303031921,0.8911089897155762,0.1096518486738205,0.9872544407844543,0.8330355286598206,0.1681867092847824
36,0.9911913275718689,0.8960338234901428,0.10469704866409302,0.9876840710639954,0.8330221176147461,0.16820362210273743
37,0.991713285446167,0.9011121988296509,0.09958197176456451,0.9866737723350525,0.8285476565361023,0.17278414964675903
38,0.9917601943016052,0.9014869928359985,0.09920761734247208,0.9876018762588501,0.8332911729812622,0.16792649030685425
39,0.9919318556785583,0.9040748476982117,0.09660346806049347,0.9867998957633972,0.8307238221168518,0.17064586281776428
